,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Penzance,75,GB,1573942635,100,50.12,-5.53,10.0,1.5
1,Evensk,68,RU,1573942754,76,61.92,159.24,-13.57,5.86
2,Port Alfred,13,ZA,1573942754,94,-33.59,26.89,18.89,0.45
3,Chincha Alta,23,PE,1573942754,30,-13.42,-76.13,22.0,8.7
4,Borcea,90,RO,1573942754,93,44.33,27.73,14.0,4.1
5,Laguna,40,BZ,1573943074,69,16.17,-88.94,28.0,2.1
6,Ushuaia,90,AR,1573942551,62,-54.81,-68.31,13.0,6.2
7,Port Blair,40,IN,1573942641,100,11.67,92.75,25.0,4.05
8,Clyde River,75,CA,1573943074,65,70.47,-68.59,-13.0,3.6
9,Katherine,9,AU,1573942755,61,-14.47,132.26,25.0,1.8
10,Jamestown,45,AU,1573942756,80,-33.21,138.6,7.78,3.34
11,Provideniya,100,RU,1573943075,92,64.42,-173.23,-7.39,5.8
12,Vao,100,EE,1573943075,96,59.1,26.19,2.61,3.82
13,Albany,20,US,1573942605,30,42.65,-73.75,-2.22,3.1
14,Yerbogachen,0,RU,1573942756,95,61.28,108.01,-32.91,2.31
15,Kendari,11,ID,1573942757,94,-3.99,122.52,22.49,1.01
16,Barrow,0,AR,1573942757,43,-38.31,-60.23,22.94,4.97
17,Atuona,1,PF,1573942757,73,-9.8,-139.03,26.51,6.82
18,Victoria,75,BN,1573942509,88,5.28,115.24,26.0,0.5
19,Jawhar,70,IN,1573942758,72,19.91,73.23,24.72,1.98
20,Avarua,0,CK,1573942758,69,-21.21,-159.78,27.0,5.7
21,Mount Isa,2,AU,1573942758,10,-20.73,139.49,29.0,8.2
22,Kaitangata,67,NZ,1573942758,50,-46.28,169.85,16.11,3.13
23,Punta Arenas,100,CL,1573942759,47,-53.16,-70.91,14.0,7.7
24,Sohag,0,EG,1573942759,45,26.55,31.7,20.0,3.6
25,Rikitea,95,PF,1573942759,84,-23.12,-134.97,23.49,7.04
26,Souillac,1,FR,1573942759,100,45.6,-0.6,7.22,1.5
27,Seabra,100,BR,1573942486,68,-12.42,-41.77,22.13,1.69
28,Zhigansk,100,RU,1573942760,99,66.77,123.37,-21.96,2.98
29,Sao Filipe,92,CV,1573942760,80,14.9,-24.5,22.69,7.36
30,Bethel,90,US,1573943079,71,60.79,-161.76,-12.0,7.7
31,Biak,34,ID,1573943079,71,-0.91,122.88,26.92,3.24
32,Pimentel,9,BR,1573942761,71,-3.7,-45.5,27.85,1.83
33,Namibe,91,AO,1573942761,78,-15.19,12.15,21.62,6.72
34,Mount Gambier,40,AU,1573942761,93,-37.83,140.78,10.0,1.0
35,Kapaa,90,US,1573942726,94,22.08,-159.32,29.0,1.5
36,Saint George,40,GR,1573942762,100,39.45,22.34,12.0,0.71
37,Rio Grande,0,BR,1573942762,69,-32.03,-52.1,23.0,2.6
38,Yellowknife,90,CA,1573942861,77,62.45,-114.38,-15.0,1.5
39,Muroto,40,JP,1573942762,70,33.37,134.14,9.0,4.6
40,Lebu,40,ET,1573942763,54,8.96,38.73,15.0,2.1
41,Mataura,33,NZ,1573942763,59,-46.19,168.86,14.44,5.36
42,Hermanus,52,ZA,1573942763,93,-34.42,19.24,15.0,6.78
43,Necochea,0,AR,1573943082,82,-38.55,-58.74,16.67,0.45
44,Butaritari,100,KI,1573942763,85,3.07,172.79,26.74,8.22
45,Santa Rosa,0,AR,1573942764,12,-36.62,-64.29,32.88,3.19
46,Saskylakh,100,RU,1573942764,97,71.97,114.09,-22.29,2.06
47,Kitimat,90,CA,1573942510,93,54.02,-128.69,7.0,3.6
48,Carnarvon,0,ZA,1573943083,47,-30.97,22.13,19.6,7.7
49,Cidreira,0,BR,1573943083,63,-30.17,-50.22,20.76,4.13
50,Harper,1,US,1573943084,31,30.3,-99.24,16.67,4.6
51,Tasiilaq,89,GL,1573942765,79,65.61,-37.64,-3.0,2.6
52,Bonavista,79,CA,1573942765,60,48.65,-53.11,-2.22,9.39
53,Vaini,19,IN,1573942766,88,15.34,74.49,20.05,2.52
54,Pilar,67,AR,1573942766,69,-34.46,-58.91,25.56,4.6
55,Lopatino,0,RU,1573942766,81,53.85,39.47,2.22,1.34
56,Klaksvik,100,FO,1573943085,80,62.23,-6.59,4.0,6.7
57,Paamiut,100,GL,1573942766,46,61.99,-49.67,-3.38,6.31
58,Busselton,0,AU,1573942767,60,-33.64,115.35,16.11,1.8
59,Yar-Sale,100,RU,1573943086,95,66.83,70.83,-17.58,7.78
60,Arraial do Cabo,0,BR,1573942767,88,-22.97,-42.02,22.0,5.1
61,Paramonga,92,PE,1573942767,90,-10.68,-77.82,17.41,5.45
62,Bima,28,ID,1573942768,97,-8.45,118.73,22.53,0.27
63,Margate,75,AU,1573942768,43,-43.03,147.26,10.56,1.5
64,Torbay,40,CA,1573943087,63,47.66,-52.73,-1.11,12.3
65,Bredasdorp,78,ZA,1573942768,77,-34.53,20.04,16.0,3.13
66,Lompoc,1,US,1573942769,46,34.64,-120.46,30.0,5.1
67,Berdigestyakh,100,RU,1573942769,95,62.1,126.7,-24.72,3.31
68,Chuy,94,UY,1573942769,76,-33.69,-53.46,23.2,2.67
69,Hobyo,20,SO,1573942769,78,5.35,48.53,26.36,7.05
70,Kodiak,1,US,1573942770,32,39.95,-94.76,13.89,5.1
71,Altay,63,CN,1573942770,37,47.83,88.13,-22.08,0.86
72,Mindyak,35,RU,1573942770,81,54.02,58.79,0.0,5.0
73,Gotsu,100,JP,1573942771,63,35.01,132.22,16.94,3.49
74,Flin Flon,90,CA,1573943090,85,54.77,-101.88,-5.0,5.1
75,Qaanaaq,100,GL,1573943090,90,77.48,-69.36,-12.77,2.21
76,Ngunguru,35,NZ,1573942772,69,-35.62,174.5,21.67,6.71
77,Airai,32,TL,1573943091,23,-8.93,125.41,20.75,2.07
78,Quincy,75,US,1573942772,70,47.23,-119.85,11.0,1.43
79,Catalina,23,PE,1573942772,30,-13.57,-76.13,22.0,8.7
80,Vanimo,100,PG,1573943091,78,-2.67,141.3,29.01,8.59
81,Kimbe,100,PG,1573942773,95,-5.56,150.15,23.82,0.49
82,Bambous Virieux,75,MU,1573942773,83,-20.34,57.76,24.44,5.7
83,Cape Town,20,ZA,1573942581,67,-33.93,18.42,16.67,7.7
84,Arman,80,RU,1573943092,66,59.7,150.17,-7.75,9.7
85,Port Hardy,75,CA,1573943092,100,50.7,-127.42,9.0,10.3
86,Povazska Bystrica,75,SK,1573942774,93,49.12,18.42,12.22,1.0
87,Constitucion,75,MX,1573943093,37,23.99,-104.67,22.0,3.1
88,Cedar City,1,US,1573942623,20,37.68,-113.06,17.0,4.1
89,Thinadhoo,100,MV,1573942774,77,0.53,72.93,27.27,4.61
